subject,gpt_layer,WER_zscore,BLEU_zscore,METEOR_zscore,BERT_zscore
S1,6,8.622948612551578,7.116918795162234,8.215639489589638,14.870982
S1,7,9.382415796015598,7.924743532248992,8.182272810645832,16.221134
S1,8,8.463361161004306,5.477891629445418,6.938974129022361,15.076017
S1,9,7.155794176075754,5.9819780851328215,6.147434015058574,14.002044
S1,10,8.30477099624306,5.747750415550467,6.417915558002429,14.138946
S2,6,7.972347302318617,5.95268143528366,6.709639285297002,15.516091
S2,7,7.329538374746244,6.279554931404867,6.583076242312176,14.801229
S2,8,6.619692437901204,5.558152540076364,5.072644840023886,14.838954
S2,9,6.645121252706422,6.835074519541741,6.425781471332081,17.386839
S2,10,9.88593651389228,6.6628133979930935,5.732435195768216,13.842913
S3,6,11.210528053120653,8.443115137824195,8.692716777057306,19.300455
S3,7,11.138148346907796,9.14869711568918,9.76273917921648,21.343443
S3,8,11.953954227311716,8.570551188109706,8.897245097120722,20.806784
S3,9,11.14339861802727,7.674203582624187,9.176219625945933,18.887459
S3,10,10.772606269678716,7.406041329775192,7.8983119293087185,19.58518
